"","lod"
"300",2.10218448662852
"301",2.59479388581356
"302",2.05394620756952
"303",2.07819484230009
"304",3.06186352490138
"305",1.30068594748262
"306",2.35158397521489
"307",1.31835386481718
"308",1.63531366952637
"309",2.70128609032032
"310",2.77681677687201
"311",2.55512235302042
"312",3.01640260233161
"313",1.92642670124356
"314",2.61442850531807
"315",1.58815885898491
"316",3.90825523263511
"317",2.33871579398108
"318",2.56018718292198
"319",2.49682668013433
"320",1.7366830209627
"321",1.98383255701536
"322",1.96982678436223
"323",1.74224763413126
"324",2.12784591090718
"325",2.60978495731339
"326",2.31273180395118
"327",1.52396567120203
"328",2.55269749107553
"329",1.60594740267338
"330",2.16089687614655
"331",2.24621368432834
"332",2.14748432149712
"333",2.49423798518424
"334",1.98153531008585
"335",1.53155190084381
"336",1.49206379761561
"337",2.13586230200782
"338",2.12617531398547
"339",1.89289320445528
"340",1.82479075834578
"341",2.07797790997715
"342",3.01923618723467
"343",3.16553443054258
"344",2.17682062056799
"345",2.40034853311781
"346",2.06701883790295
"347",1.40261025149383
"348",1.66848867790489
"349",1.4950871567674
"350",1.2882853479075
"351",2.99398676257088
"352",4.57839586785066
"353",1.64934417282296
"354",1.66738661233909
"355",2.58194718602327
"356",2.83894509406772
"357",2.48714231925752
"358",3.12464415375841
"359",2.12040850881684
"360",3.1952436712626
"361",1.2812921706732
"362",2.93580011483148
"363",1.80308182706021
"364",2.7536937647934
"365",1.6782333720176
"366",1.89614956644033
"367",1.42467075644385
"368",2.08206463420917
"369",1.90415105106597
"370",2.78735960156401
"371",2.56304503169235
"372",1.65417895262654
"373",2.10309196010084
"374",1.20986365820372
"375",2.72648307036663
"376",2.00348431070032
"377",1.70547495892474
"378",1.48805621119277
"379",2.70144549496261
"380",1.84165404839557
"381",1.96376278972301
"382",2.72548215425874
"383",1.8632262075816
"384",2.00374784995518
"385",2.2443995294839
"386",1.43531773317893
"387",1.77414527946331
"388",1.68291525286217
"389",2.1900639531199
"390",1.858721206491
"391",1.97102719262382
"392",2.66738872491653
"393",2.40266881063377
"394",2.24010773817162
"395",1.07833193379382
"396",1.37920542719549
"397",2.68039364103373
"398",2.23963633381301
"399",1.78486341061178
"400",2.10534601820858
"401",1.68339740637393
"402",2.66779966842896
"403",1.65218575240468
"404",1.64441751421178
"405",2.05846258388763
"406",3.24629660922254
"407",2.42966736602547
"408",1.0701833967552
"409",1.47748294462184
"410",2.14871031650387
"411",1.49835789519229
"412",1.69102209262077
"413",2.03581388787535
"414",2.40364328589733
"415",2.08534223820391
"416",2.03753938190107
"417",1.31069564318287
"418",1.71188963127604
"419",2.15347845969038
"420",1.72214971475663
"421",1.68304086680737
"422",1.56780119413079
"423",2.71108027010324
"424",1.08512695305448
"425",2.73530081944341
"426",2.60956943965476
"427",1.88741459665088
"428",2.16981208285451
"429",1.69158440895433
"430",2.01209927894715
"431",1.23894814235442
"432",1.87723146847294
"433",1.22149843841517
"434",2.91923979863506
"435",2.27733590228506
"436",1.18016133996812
"437",2.15105224754804
"438",2.35696820974266
"439",1.2994150699824
"440",1.85976670000747
"441",1.74376110203742
"442",2.22129800808989
"443",1.58582607166684
"444",2.75533101406505
"445",2.84956521232802
"446",1.96311911196952
"447",1.43430284693224
"448",1.55660761431984
"449",2.58669367331949
"450",1.49009205950256
"451",1.70924039029919
"452",2.98180977110869
"453",1.35657725024114
"454",1.79681157047915
"455",2.40226871784665
"456",1.9810484265813
"457",2.20004383369424
"458",2.10507234243082
"459",1.95033391094771
"460",1.51206885624528
"461",1.58732389666186
"462",1.93444083204989
"463",1.45884734889131
"464",2.0392394218634
"465",2.1138627666314
"466",1.00921580406083
"467",1.53855657403105
"468",1.59636660981811
"469",1.882964621094
"470",2.26556253092795
"471",2.10271023012926
"472",1.7618307853855
"473",1.44010703774811
"474",3.08086883858492
"475",1.19508156661219
"476",2.38004908422005
"477",1.84662204609081
"478",2.08744200401902
"479",3.37521622401313
"480",1.45678867488218
"481",1.86622892286438
"482",1.78803442560142
"483",1.96432223072911
"484",2.95455062932007
"485",1.12443992297226
"486",1.94214177068518
"487",1.51066620596632
"488",1.91390187399948
"489",2.00559773042944
"490",1.79073014039726
"491",1.39398126062953
"492",1.88598182629731
"493",1.76069026682107
"494",1.88780838707467
"495",2.03665786809218
"496",1.94413477324515
"497",2.3141885262358
"498",3.05055620385832
"499",2.51272884117132
"500",3.21672882311029
"501",1.39754784727133
"502",1.64183741530947
