task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
26	30/41ffbd	2930850	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome_gfp.fasta)	COMPLETED	0	2026-09-14 11:28:55.806	589ms	186ms	29.6%	4.1 MB	10.8 MB	390.1 KB	2.7 KB
10	25/18ed51	2930566	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:28:55.048	1.4s	939ms	84.4%	5.4 MB	15.9 MB	8.8 MB	5 MB
24	68/1eaa8b	2931119	NFCORE_RNASEQ:PREPARE_GENOME:EAUTILS_GTF2BED (genome_gfp)	COMPLETED	0	2026-09-14 11:28:56.406	1.6s	0ms	18.0%	256 KB	4.3 MB	374.6 KB	6.7 KB
27	b1/fbe32a	2931512	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:28:58.007	386ms	0ms	89.9%	6 MB	10.3 MB	4.5 MB	1.3 KB
13	46/f03477	2931129	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:28:56.452	2s	1.6s	88.9%	19.2 MB	340.7 MB	15.5 MB	10.1 MB
21	1c/11ebc3	2930121	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT_REP1)	COMPLETED	0	2026-09-14 11:28:54.471	4s	4s	223.0%	493 MB	15.4 GB	20.5 MB	3.5 MB
19	f0/36603e	2931859	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:28:58.516	1.5s	1.2s	94.1%	19.4 MB	344.4 MB	17.5 MB	9.4 MB
16	c6/8422d3	2931852	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP2)	COMPLETED	0	2026-09-14 11:28:58.497	1.8s	1.5s	93.8%	19.8 MB	344.7 MB	14.9 MB	9.8 MB
23	43/48959b	2932476	NFCORE_RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (genome_gfp.fasta)	COMPLETED	0	2026-09-14 11:29:00.345	959ms	531ms	52.8%	3.9 MB	7.1 MB	4.9 MB	6.2 MB
22	a4/7f6e73	2932311	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP1)	COMPLETED	0	2026-09-14 11:29:00.060	2.8s	2.5s	94.5%	19.4 MB	283.7 MB	30.3 MB	18.7 MB
29	9c/7c0815	2933173	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:29:02.846	459ms	0ms	85.1%	7.1 MB	10.3 MB	8.9 MB	1.3 KB
28	bc/ae6229	2933165	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:29:02.835	577ms	0ms	93.0%	9 MB	33.4 MB	13.3 MB	1.7 KB
30	05/0a26c7	2933568	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (WT_REP2)	COMPLETED	0	2026-09-14 11:29:03.314	528ms	0ms	91.4%	6.3 MB	10.3 MB	12.9 MB	1.7 KB
31	4d/43c358	2933641	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (WT_REP1)	COMPLETED	0	2026-09-14 11:29:03.420	711ms	1s	93.8%	6.4 MB	10.3 MB	26.3 MB	1.7 KB
25	cb/f9aedb	2932734	NFCORE_RNASEQ:PREPARE_GENOME:BBMAP_BBSPLIT (null)	COMPLETED	0	2026-09-14 11:29:01.323	3.5s	3.1s	107.4%	401.6 MB	15.4 GB	4.7 MB	4.9 MB
33	f1/3d3cf6	2934134	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:29:04.845	19.4s	19.1s	277.1%	1.1 GB	66.1 GB	43.5 MB	28.2 MB
36	e9/d1dca4	2934136	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT (WT_REP1)	COMPLETED	0	2026-09-14 11:29:04.853	33s	32.7s	303.2%	1.4 GB	66.1 GB	76.4 MB	57.3 MB
35	10/6539f4	2937909	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:BBMAP_BBSPLIT (WT_REP2)	COMPLETED	0	2026-09-14 11:29:24.233	20.7s	20.2s	336.1%	1.1 GB	66.1 GB	43.6 MB	28.5 MB
